ChangedBy,ChangedDate,FirstName,MiddleInitial,LastName,BirthDate,Last4SSN,Status,Description,MarketID,Market Facility Code,HireDate,EncryptedSSN,Termination Date,Non-Exchange Email Address
Vista,2018-03-01 09:45:07.7179769 -06:00,Vista1,,Hooke,5/22/1980,1113,SN,,DEMI,675,1/23/2017,i+7676$#hhMyC1kSEA==,2/28/2018,AHooke@efg.org
Vista,2018-03-01 09:45:07.7179769 -06:00,Vista2,,Kornatowski,10/6/2009,1114,TP,,DEMI,625,6/7/2005,i+7676$#hhMyC1kSEA==,3/1/2018,GKornato@efg.org
Vista,2018-03-01 09:45:25.9098163 -06:00,Vista3,,Perry,4/26/2000,1115,TN,,DEMI,605,11/27/2017,i+7676$#hhMyC1kSEA==,1/30/2018,APerry2@efg.org
Vista,2018-03-01 09:45:25.9098163 -06:00,Vista4,,Zoma,8/15/2000,1116,TN,,DEMI,620,7/23/2007,i+7676$#hhMyC1kSEA==,2/16/2018,FZoma@efg.org
Vista,2018-03-01 09:45:25.9098163 -06:00,Vista5,,Biggens,7/29/2000,1115,SN,,DEMI,675,1/12/2015,i+7676$#hhMyC1kSEA==,1/1/1900,SBiggens@efg.org
Vista,2018-03-01 09:45:25.9098163 -06:00,Vista6,,Biggens,7/29/2005,1115,SN,,DEMI,675,1/12/2015,i+7676$#hhMyC1kSEA==,1/1/2000,SBiggens@efg.org
Vista,2018-03-01 09:45:25.9098163 -06:00,Vista7,,Grabowski,11/21/1980,1116,TN,,DEMI,605,3/15/2010,i+7676$#hhMyC1kSEA==,2/14/2018,JGrabows@efg.org
Vista,2018-03-01 09:45:25.9098163 -06:00,Vista8,,Blank,3/1/1985,1117,TN,,DEMI,DER,9/10/2015,i+7676$#hhMyC1kSEA==,2/15/2018,NBlank@efg.org
Vista,2018-03-01 09:45:25.9098163 -06:00,Vista9,,Clark,3/18/1979,1118,TN,,DEMI,605,12/18/1978,i+7676$#hhMyC1kSEA==,10/26/2017,CClark4@efg.org
Vista,2018-03-01 09:45:25.9098163 -06:00,Vista10,,Moore,10/10/1930,1119,TN,,DEMI,620,11/17/1973,i+7676$#hhMyC1kSEA==,10/30/2017,FMoore@efg.org
Vista,2018-03-01 09:45:25.9098163 -06:00,Vista11,,Ciullo,5/27/1992,1120,TN,,DEMI,605,10/15/2012,i+7676$#hhMyC1kSEA==,1/28/2018,CCiullo@efg.org
Vista,2018-03-01 09:45:25.9098163 -06:00,Vista12,,Lee,12/16/1989,1121,A,,DEMI,675,7/24/2017,i+7676$#hhMyC1kSEA==,1/1/2000,DLee6@efg.org
Vista,2018-03-01 09:45:25.9098163 -06:00,Vista13,,Davis,9/5/1999,1122,TP,,DEMI,610,12/14/2015,i+7676$#hhMyC1kSEA==,1/2/2018,JDavis412ac@efg.org
Vista,2018-03-01 09:45:25.9098163 -06:00,Vista14,,El-atrach,7/8/1123,9001,TN,,DEMI,605,6/13/2016,i+7676$#hhMyC1kSEA==,2/13/2018,RElatrac@efg.org
Vista,2018-03-01 09:45:25.9098163 -06:00,Vista15,,Tikkanen,6/9/1989,1124,TN,,DEMI,605,7/11/2016,i+7676$#hhMyC1kSEA==,2/13/2018,JTikkane@efg.org
Vista,2018-03-01 09:45:25.9098163 -06:00,Vista16,,Haughton,1/15/1945,1125,TP,,DEMI,620,1/26/2017,i+7676$#hhMyC1kSEA==,12/29/2017,SHaughto@efg.org
Vista,2018-03-01 09:45:25.9098163 -06:00,Vista17,,Mitchell,8/1/1970,1126,TP,,DEMI,610,2/13/2017,i+7676$#hhMyC1kSEA==,11/30/2017,EMitchel5@efg.org
